   N    orbits    quotient
 776  38396612  7.99354880
 777   7221456  5.99227302
 778  38595156  7.99356541
 779   7258740  5.99229287
 780  38794212  7.99358193
 781   7296120  5.99231262
 782  38993780  7.99359836
 783   7333596  5.99233227
 784  39193860  7.99361471
 785   7371168  5.99235182
 786  39394452  7.99363098
 787   7408836  5.99237127
 788  39595556  7.99364716
 789   7446600  5.99239062
 790  39797172  7.99366327
 791   7484460  5.99240987
 792  39999300  7.99367929
 793   7522416  5.99242902
 794  40201940  7.99369523
 795   7560468  5.99244808
 796  40405092  7.99371109
 797   7598616  5.99246704
 798  40608756  7.99372687
 799   7636860  5.99248591
 800  40812932  7.99374257
 801   7675200  5.99250468
 802  41017620  7.99375819
 803   7713636  5.99252336
 804  41222820  7.99377374
 805   7752168  5.99254195
 806  41428532  7.99378921
 807   7790796  5.99256045
 808  41634756  7.99380460
 809   7829520  5.99257885
 810  41841492  7.99381991
 811   7868340  5.99259716
 812  42048740  7.99383515
 813   7907256  5.99261538
 814  42256500  7.99385032
 815   7946268  5.99263352
 816  42464772  7.99386541
 817   7985376  5.99265156
 818  42673556  7.99388042
 819   8024580  5.99266952
 820  42882852  7.99389537
 821   8063880  5.99268739
 822  43092660  7.99391024
 823   8103276  5.99270517
 824  43302980  7.99392504
 825   8142768  5.99272286
 826  43513812  7.99393976
 827   8182356  5.99274047
 828  43725156  7.99395442
 829   8222040  5.99275800
 830  43937012  7.99396900
 831   8261820  5.99277544
 832  44149380  7.99398351
 833   8301696  5.99279279
 834  44362260  7.99399796
 835   8341668  5.99281007
 836  44575652  7.99401233
 837   8381736  5.99282726
 838  44789556  7.99402664
 839   8421900  5.99284436
 840  45003972  7.99404088
 841   8462160  5.99286139
 842  45218900  7.99405505
 843   8502516  5.99287834
 844  45434340  7.99406915
 845   8542968  5.99289520
 846  45650292  7.99408319
 847   8583516  5.99291199
 848  45866756  7.99409716
 849   8624160  5.99292870
 850  46083732  7.99411107
 851   8664900  5.99294533
 852  46301220  7.99412490
 853   8705736  5.99296188
 854  46519220  7.99413868
 855   8746668  5.99297835
 856  46737732  7.99415239
 857   8787696  5.99299475
 858  46956756  7.99416603
 859   8828820  5.99301107
 860  47176292  7.99417962
 861   8870040  5.99302731
 862  47396340  7.99419314
 863   8911356  5.99304348
 864  47616900  7.99420659
 865   8952768  5.99305957
 866  47837972  7.99421999
 867   8994276  5.99307559
 868  48059556  7.99423332
 869   9035880  5.99309154
 870  48281652  7.99424659
 871   9077580  5.99310741
 872  48504260  7.99425980
 873   9119376  5.99312321
 874  48727380  7.99427295
 875   9161268  5.99313894
 876  48951012  7.99428604
 877   9203256  5.99315459
 878  49175156  7.99429907
 879   9245340  5.99317018
 880  49399812  7.99431204
 881   9287520  5.99318569
 882  49624980  7.99432495
 883   9329796  5.99320113
 884  49850660  7.99433781
 885   9372168  5.99321651
 886  50076852  7.99435060
 887   9414636  5.99323181
 888  50303556  7.99436334
 889   9457200  5.99324705
 890  50530772  7.99437602
 891   9499860  5.99326221
 892  50758500  7.99438864
 893   9542616  5.99327731
 894  50986740  7.99440121
 895   9585468  5.99329234
 896  51215492  7.99441372
 897   9628416  5.99330731
 898  51444756  7.99442617
 899   9671460  5.99332220
 900  51674532  7.99443857
 901   9714600  5.99333703
 902  51904820  7.99445092
 903   9757836  5.99335180
 904  52135620  7.99446321
 905   9801168  5.99336650
 906  52366932  7.99447544
 907   9844596  5.99338114
 908  52598756  7.99448762
 909   9888120  5.99339571
 910  52831092  7.99449975
 911   9931740  5.99341021
 912  53063940  7.99451183
 913   9975456  5.99342466
 914  53297300  7.99452385
 915  10019268  5.99343904
 916  53531172  7.99453582
 917  10063176  5.99345336
 918  53765556  7.99454773
 919  10107180  5.99346761
 920  54000452  7.99455960
 921  10151280  5.99348180
 922  54235860  7.99457141
 923  10195476  5.99349593
 924  54471780  7.99458318
 925  10239768  5.99351001
 926  54708212  7.99459489
 927  10284156  5.99352402
 928  54945156  7.99460655
 929  10328640  5.99353796
 930  55182612  7.99461816
 931  10373220  5.99355185
 932  55420580  7.99462972
 933  10417896  5.99356568
 934  55659060  7.99464123
 935  10462668  5.99357945
 936  55898052  7.99465269
 937  10507536  5.99359317
 938  56137556  7.99466411
 939  10552500  5.99360682
 940  56377572  7.99467547
 941  10597560  5.99362041
 942  56618100  7.99468679
 943  10642716  5.99363395
 944  56859140  7.99469805
 945  10687968  5.99364743
 946  57100692  7.99470927
 947  10733316  5.99366086
 948  57342756  7.99472045
 949  10778760  5.99367422
 950  57585332  7.99473157
 951  10824300  5.99368753
 952  57828420  7.99474265
 953  10869936  5.99370079
 954  58072020  7.99475369
 955  10915668  5.99371399
 956  58316132  7.99476467
 957  10961496  5.99372713
 958  58560756  7.99477561
 959  11007420  5.99374022
 960  58805892  7.99478651
 961  11053440  5.99375325
 962  59051540  7.99479736
 963  11099556  5.99376623
 964  59297700  7.99480816
 965  11145768  5.99377916
 966  59544372  7.99481892
 967  11192076  5.99379203
 968  59791556  7.99482964
 969  11238480  5.99380485
 970  60039252  7.99484031
 971  11284980  5.99381762
 972  60287460  7.99485093
 973  11331576  5.99383033
 974  60536180  7.99486152
 975  11378268  5.99384300
 976  60785412  7.99487206
 977  11425056  5.99385561
 978  61035156  7.99488255
 979  11471940  5.99386817
 980  61285412  7.99489301
 981  11518920  5.99388067
 982  61536180  7.99490342
 983  11565996  5.99389313
 984  61787460  7.99491379
 985  11613168  5.99390554
 986  62039252  7.99492412
 987  11660436  5.99391789
 988  62291556  7.99493440
 989  11707800  5.99393020
 990  62544372  7.99494464
 991  11755260  5.99394245
 992  62797700  7.99495485
 993  11802816  5.99395466
 994  63051540  7.99496501
 995  11850468  5.99396682
 996  63305892  7.99497513
 997  11898216  5.99397893
 998  63560756  7.99498521
 999  11946060  5.99399099
1000  63816132  7.99499525
